Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,ga,0.2058,22,39,0.03697478991596639,1020,948,1.0759493670886076,0.3499300699300699,0.0925206033276318,7.740555288745085,0.875,0.6338,0.6252,0.0002,0.5145,0.2477
pcm,hu,0.26,15,46,0.021848739495798318,1800,948,1.8987341772151898,0.4546198320061089,0.0925206033276318,15.317161347101475,1.0,0.5456,0.6445,0.5922,0.4278,0.2194
pcm,te,0.3165,5,56,0.0016806722689075631,1328,948,1.40084388185654,0.34461966604823746,0.0925206033276318,7.424471589904348,1.0,0.7016,0.5833,0.6409999999999999,0.479,0.4029
pcm,af,0.2441,18,43,0.05126050420168067,1934,948,2.040084388185654,0.20348486540824304,0.0925206033276318,1.438432034884854,0.5,0.7097,0.5587,0.0002,0.4312,0.2251
pcm,vi,0.1949,26,35,0.018487394957983194,3000,948,3.1645569620253164,0.15680435614923213,0.0925206033276318,0.4827536129371315,1.0,0.6555,0.6421,0.5456,0.5026,0.5479999999999999
pcm,ug,0.3206,4,57,0.0016806722689075631,3456,948,3.6455696202531644,0.4374610522567435,0.0925206033276318,13.899889130465008,1.0,0.6936,1.0,0.7877,0.6737,0.405
pcm,el,0.0351,54,7,0.004201680672268907,2521,948,2.659282700421941,0.2837253360022877,0.0925206033276318,4.2709094426985175,0.8333,0.5391,0.7013,0.5922,0.4852,0.2075
pcm,sme,0.3371,2,59,0.018487394957983194,3122,948,3.2932489451476794,0.4513223794042703,0.0925206033276318,15.039460451633717,1.0,0.7352,1.0,0.0002,0.6737,0.3345
pcm,gl,0.2016,23,38,0.05798319327731093,3993,948,4.212025316455696,0.23027218766153898,0.0925206033276318,2.2167478340215316,0.9231,0.718,0.5142,0.0002,0.3812,0.1899
pcm,sr,0.2376,19,42,0.03949579831932773,3891,948,4.1044303797468356,0.3111760696308725,0.0925206033276318,5.585264770309875,0.875,0.6936,1.0,0.8278,0.6737,0.2106
pcm,got,0.1229,38,23,0.0226890756302521,5401,948,5.697257383966245,0.1811019353439708,0.0925206033276318,0.9166583542295182,0.3333,0.7016,1.0,0.0002,0.6737,0.2401
pcm,tr,0.1921,28,33,0.02857142857142857,5635,948,5.944092827004219,0.5061541783632045,0.0925206033276318,19.987324109923193,1.0,0.5522,0.6664,0.5922,0.4963,0.2195
pcm,zh,0.0035,60,1,0.009243697478991597,4997,948,5.2710970464135025,0.9869043288468534,0.0925206033276318,93.44818352081211,1.0,0.0002,0.7616,0.0002,0.6737,1.0
pcm,ur,0.1201,40,21,0.0067226890756302525,5130,948,5.4113924050632916,0.10564061179587518,0.0925206033276318,0.02010903909343466,0.875,0.6936,0.6056,0.0002,0.5202,0.3408
pcm,cu,0.0914,48,13,0.0008403361344537816,6337,948,6.684599156118144,0.19595240163293667,0.0925206033276318,1.24977329025679,0.8333,0.0002,0.7616,0.0002,0.6737,0.2095
pcm,sv,0.3241,3,58,0.04957983193277311,6026,948,6.356540084388186,0.2404336943809909,0.0925206033276318,2.555855600397112,0.5714,0.6409999999999999,0.6029,0.0002,0.4819,0.2839
pcm,da,0.0807,49,12,0.09159663865546218,5512,948,5.814345991561181,0.2897915761056075,0.0925206033276318,4.546209655774099,0.5714,0.6629,1.0,0.0002,0.6737,0.2522
