Source,Target,BLEU,"Data Size (parallel sentences, K)"
glg,ind,9.8,56
glg,ita,19.3,120
glg,jpn,3.6,50
glg,kor,4.2,28
glg,mkd,5.6,35
glg,nob,6.9,
glg,nld,6.5,66
glg,pol,4.3,65
glg,por,22.4,227
glg,pt-br,23.7,
glg,ron,7.7,56
glg,rus,5.9,84
glg,slk,1.7,29
glg,slv,3.1,33
glg,srp,0.2,39
glg,swe,4.3,54
glg,tur,2.3,43
glg,ukr,3.9,51
glg,vie,9.4,58
glg,cmn,5.8,46
glg,zh-tw,4.2,
heb,ara,3.4,68
heb,bul,5.7,58
heb,bos,1.8,30
heb,ces,3.7,72
heb,dan,6.1,55
heb,deu,5.4,109
heb,ell,6.3,56
heb,eng,25.7,545
heb,epo,4.2,39
heb,spa,15.3,153
heb,fra,13.6,136
heb,fr-ca,10.3,
heb,glg,5.1,41
heb,hrv,2.5,41
heb,hun,3.2,65
heb,ind,8.9,63
heb,ita,11.2,121
heb,jpn,4.1,82
heb,kor,4.5,43
heb,mkd,4.6,42
heb,nob,5.4,
heb,nld,6.5,86
heb,pol,3.7,84
heb,por,13.7,133
heb,pt-br,15,
heb,ron,6.3,67
heb,rus,8,131
heb,slk,1.9,36
heb,slv,2.6,38
heb,srp,1,45
heb,swe,5.2,67
heb,tur,1.8,54
heb,ukr,5.1,73
heb,vie,10.7,66
heb,cmn,6.9,62
heb,zh-tw,4.6,
hin,eng,17.8,231
hrv,ara,1.6,38
hrv,bul,8.7,47
hrv,bos,29.9,164
hrv,ces,7,63
hrv,dan,6.5,43
hrv,deu,5.8,87
hrv,ell,6.6,43
hrv,eng,24.4,259
hrv,epo,4.4,29
hrv,spa,12.6,94
hrv,fra,9.9,85
hrv,fr-ca,7.8,
hrv,glg,5.7,33
hrv,heb,1.5,41
hrv,hun,4.3,58
hrv,ind,8.2,47
hrv,ita,10.4,80
hrv,jpn,1.8,48
hrv,kor,4,27
hrv,mkd,14.1,52
hrv,nob,5.3,
hrv,nld,6.1,65
hrv,pol,5.4,71
hrv,por,12.1,85
hrv,pt-br,12.6,
hrv,ron,7.3,51
hrv,rus,8.3,85
hrv,slk,4.6,35
hrv,slv,12.6,53
hrv,srp,11.7,205
