Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ti,fr,0.21,41,13,0.0,10000,81,123.45679012345678,1.0,0.6874,0.604,0.5456,0.5,0.2476
ti,ha,0.29,26,28,0.0,1071,81,13.222222222222221,0.8333,0.727,0.629,0.5456,0.511,0.1645
ti,hi,0.42,3,51,0.0,10000,81,123.45679012345678,1.0,0.7092,0.6125,0.5922,0.5302,0.2049
ti,hu,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.6791,0.5852,0.5922,0.4488,0.1967
ti,ilo,0.31,19,35,0.0,3549,81,43.81481481481482,1.0,0.7952,0.6237,0.0002,0.5396,0.4357
ti,id,0.36,12,42,0.0,10000,81,123.45679012345678,1.0,0.8451,0.6578,0.5687,0.47,0.4093
ti,it,0.33,14,40,0.0,10000,81,123.45679012345678,1.0,0.7183,0.5752,0.0002,0.4608,0.1981
ti,jv,0.28,29,25,0.0,9243,81,114.11111111111111,1.0,0.8718,0.6259,0.7223,0.5235,0.4043
ti,kk,0.22,40,14,0.0,10000,81,123.45679012345678,1.0,0.7048,0.8608,0.879,0.6284,0.1955
ti,rw,0.29,26,28,0.0,864,81,10.666666666666666,1.0,0.7440000000000001,0.5471,0.0002,0.4531,0.1069
ti,ky,0.31,19,35,0.0,10000,81,123.45679012345678,1.0,0.6754,0.635,0.5456,0.5648,0.2235
ti,ku,0.38,7,47,0.0,4006,81,49.45679012345679,1.0,0.7015,0.8424,0.0002,0.6284,0.1199
ti,lo,0.02,53,1,0.012345679012345678,521,81,6.432098765432099,1.0,0.8195,0.6175,0.0002,0.4997,0.3495
ti,mr,0.39,4,50,0.0,10000,81,123.45679012345678,1.0,0.762,0.6126,0.0002,0.5354,0.2011
ti,mt,0.16,45,9,0.0,1390,81,17.160493827160494,0.625,0.9362,0.5479,0.0002,0.4042,0.1666
ti,my,0.07,52,2,0.012345679012345678,3282,81,40.51851851851852,1.0,0.7721,0.65,0.5228,0.5236,0.29100000000000004
ti,ms,0.32,18,36,0.0,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,nl,0.19,43,11,0.0,10000,81,123.45679012345678,1.0,0.637,0.5329,0.0002,0.4757,0.2527
ti,ny,0.1,49,5,0.0,237,81,2.925925925925926,1.0,0.8619,0.9255,0.0002,0.6284,0.1708
ti,om,0.43,2,52,0.0,265,81,3.271604938271605,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,pa,0.37,10,44,0.0,7902,81,97.55555555555556,1.0,0.7092,0.6283,0.0002,0.5825,0.2041
ti,pl,0.27,32,22,0.0,10000,81,123.45679012345678,1.0,0.7494,0.635,0.6162,0.5074,0.2219
ti,pt,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.7413,0.5791,0.0002,0.4726,0.2532
ti,ro,0.39,4,50,0.0,10000,81,123.45679012345678,1.0,0.7455,0.5697,0.6409999999999999,0.3834,0.1855
ti,ru,0.21,41,13,0.0,10000,81,123.45679012345678,1.0,0.7423,0.6624,0.6162,0.5422,0.2587
ti,sn,0.33,14,40,0.012345679012345678,592,81,7.308641975308642,1.0,0.8302,0.6225,0.0002,0.5295,0.1877
ti,so,0.16,45,9,0.0,1246,81,15.382716049382717,0.8889,0.6854,0.5998,0.5687,0.5058,0.0678
ti,es,0.28,29,25,0.0,10000,81,123.45679012345678,1.0,0.7457,0.6689,0.5922,0.5499,0.2379
ti,sw,0.3,22,32,0.0,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,sv,0.13,47,7,0.0,10000,81,123.45679012345678,1.0,0.7223,0.653,0.0002,0.617,0.2621
ti,ta,0.3,22,32,0.0,10000,81,123.45679012345678,1.0,0.6138,0.5694,0.0002,0.5469,0.2174
ti,te,0.31,19,35,0.0,5991,81,73.96296296296296,1.0,0.6667,0.6244,0.6409999999999999,0.5796,0.2123
ti,tg,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.6571,0.8205,0.0002,0.6284,0.1946
ti,tl,0.38,7,47,0.012345679012345678,10000,81,123.45679012345678,1.0,0.8295,0.6709999999999999,0.5922,0.5148,0.442
