Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,vie,ben,0.2434,25,29,0.0006356440393379707,0.006747137109254101,4649.0,171995.0,0.027029855519055783,0.2354568046388585,0.01703206375296993,164.46334166871887,1.0,0.82,0.6,0.4407,0.5242,0.1,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,jpn,0.2391,50,4,0.0017619951206288968,0.013839811542991754,204091.0,171995.0,1.1866100758742986,0.8502871415102725,0.01703206375296993,2393.433633751864,1.0,0.83,0.6,0.5295,0.5065,0.2,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,msa,0.2463,2,52,0.017059498025226143,0.05535079636698697,5220.0,171995.0,0.030349719468589206,0.1694119212346993,0.01703206375296993,80.04248771254315,1.0,0.66,0.6,0.5456,0.6153,1.0,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,nld,0.2417,40,14,0.0641598594125091,0.06820844896700587,183767.0,171995.0,1.0684438501119218,0.058215454890481126,0.01703206375296993,5.8466845282184385,1.0,0.69,0.6,0.5456,0.46,0.5,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,hrv,0.2421,38,16,0.038843626601738686,0.04595078023808055,122091.0,171995.0,0.7098520305822844,0.10575350768810632,0.01703206375296993,27.13455193061645,1.0,0.74,0.7,0.5456,0.5660000000000001,0.4,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,heb,0.2386,51,3,0.009137192560258335,0.016442360392180746,211820.0,171995.0,1.2315474287043229,0.09747334903618313,0.01703206375296993,22.306090202877197,1.0,0.62,0.6,0.5456,0.5125,0.4,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,mon,0.2458,6,48,0.004108331420702318,0.016489988221436984,7607.0,171995.0,0.04422802988458967,0.2306787779407957,0.01703206375296993,157.3467901203807,1.0,0.66,0.6,0.5456,0.6153,1.0,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,vie,hin,0.2444,18,36,0.005383372276147441,0.016116085211485026,18798.0,171995.0,0.1092938748219425,0.09039212919907057,0.01703206375296993,18.551749526709735,1.0,0.75,0.6,0.4788,0.5186,0.2,1.0,0.5677,0.494,0.42700000000000005,0.455,0.4752
eng,fra,eus,0.3792,6,48,0.004142441451430437,0.034902496584275244,5182.0,192304.0,0.026946917380813708,0.3089201877934272,0.045360873894685384,33.75933716141848,1.0,0.6,0.6,0.3918,0.5822,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,slk,0.3759,19,35,0.022334812944655214,0.042842991579990095,61470.0,192304.0,0.3196501372826358,0.15189814404199045,0.045360873894685384,5.516203802415259,0.9375,0.57,0.6,0.5456,0.6025,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,mya,0.3756,21,33,0.006663915744657877,0.023218475978757563,21497.0,192304.0,0.11178654630168902,0.5593295152337758,0.045360873894685384,128.3838570025516,1.0,0.74,0.6,0.4878,0.4708,0.4,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,kor,0.3666,50,4,0.0053698034012430295,0.01911274767666141,205640.0,192304.0,1.0693485314918043,0.15493566828721153,0.045360873894685384,5.8352370462688405,1.0,0.69,0.6,0.5804,0.4804,0.5,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,lit,0.3777,12,42,0.013777008205977563,0.03731897512068325,41919.0,192304.0,0.21798298527331725,0.2006074442648472,0.045360873894685384,11.713352250872545,0.9375,0.61,0.5,0.3918,0.4824,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,ara,0.3674,49,5,0.0050584426180231715,0.015753756665050897,214111.0,192304.0,1.1133985772526829,0.09793782780711062,0.045360873894685384,1.3434701360987475,1.0,0.57,0.6,0.5456,0.6025,1.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,ces,0.3729,37,17,0.0268977690292581,0.04436480474542758,103094.0,192304.0,0.5360990931025875,0.12407758730349787,0.045360873894685384,3.011418267407012,0.9375,0.64,0.6,0.5456,0.4713,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,epo,0.3794,5,49,0.006094940418050401,0.03593371811580711,6536.0,192304.0,0.03398785256676928,0.2440067115636564,0.045360873894685384,19.177682015942093,1.0,0.75,0.9,0.5456,0.6025,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,fin,0.3801,2,52,0.010706191101037814,0.03904313336638572,24222.0,192304.0,0.12595681837091272,0.2896986479145289,0.045360873894685384,29.014721106164718,1.0,0.54,0.5,0.3277,0.3996,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,sqi,0.3765,17,37,0.024666243862357246,0.049922576649117374,44525.0,192304.0,0.23153444546135285,0.11929309320584595,0.045360873894685384,2.6564684397032106,1.0,0.57,0.6,0.5456,0.6025,1.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,vie,0.3712,43,11,0.06816576512137333,0.06313193588162762,171995.0,192304.0,0.8943911723105084,0.01703206375296993,0.045360873894685384,0.39002625409277136,1.0,0.61,0.5,0.5354,0.5018,0.5,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,est,0.379,7,47,0.007575065704689133,0.035056151889309425,10738.0,192304.0,0.05583867210250437,0.2789245014245014,0.045360873894685384,26.512311752808696,1.0,0.59,0.8,0.5456,0.6025,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,mkd,0.3735,32,22,0.00488845922331868,0.015076618882847257,25335.0,192304.0,0.13174452949496632,0.15146630461614416,0.045360873894685384,5.471575543505469,0.9375,0.66,0.6,0.5456,0.5006,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,bos,0.3754,25,29,0.005653217687601643,0.03159724377677075,5664.0,192304.0,0.029453365504617687,0.2864072802025621,0.045360873894685384,28.23829666798383,0.9375,0.58,0.8,0.5456,0.6025,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
