Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
no,en,72.48,2,28,0.175231553,14545,3450,4.215942028985507,0.09615563199999999,0.206890882,0.2864765506158098,0.7,0.5872,0.7601,0.5687,0.5983,0.0513
no,fi,47.95,23,7,0.130090064,13581,3450,3.9365217391304346,0.302519355,0.206890882,0.21364451127634362,1.0,0.6111,0.7597,0.5687,0.6506,0.0478
no,bg,63.95,9,21,0.11313688599999999,10022,3450,2.904927536231884,0.201446082,0.206890882,0.0006925978856075105,0.8571,0.5779,0.7525,0.6162,0.6416,0.1054
no,sl,61.87,15,15,0.137452274,9290,3450,2.692753623188406,0.237767323,0.206890882,0.02227264363256319,0.8333,0.5342,0.7157,0.0002,0.669,0.078
no,sk,58.74,19,11,0.12250863199999999,9543,3450,2.766086956521739,0.261917468,0.206890882,0.07073957325235254,0.8333,0.718,0.838,0.0002,0.0,0.0696
no,ro,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.03661315167840587,0.8889,0.6104,0.764,0.6409999999999999,0.6552,0.0888
no,hr,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.002242791430744932,0.875,0.6875,0.9047,0.0002,0.6832,0.0853
no,ar,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.10339868099999999,0.206890882,0.2502260639420608,1.0,0.718,0.838,0.0002,0.0,1.0
no,lv,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.08911139960681635,0.75,0.6802,0.7274,0.5922,0.0,0.0451
no,he,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.18733233003912805,1.0,0.6375,0.7323,0.0002,0.7028,0.1853
no,uk,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8333,0.5779,0.7243,0.0002,0.6737,0.0803
no,id,52.98,22,8,0.127477667,5036,3450,1.4597101449275363,0.197096308,0.206890882,0.0022412401887895008,1.0,0.6608,0.7965,0.5687,0.669,0.5622
no,da,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531366,0.4286,0.5801,0.5801,0.0002,0.0,0.0286
no,sv,72.67,1,29,0.34269899,4807,3450,1.3933333333333333,0.193727962,0.206890882,0.004047825495289832,0.4286,0.4531,0.7023,0.0002,0.6153,0.0206
no,zh,39.73,25,5,0.10385648300000001,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.018717272921972165,1.0,0.718,0.838,0.0002,0.0,1.0
es,cs,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.19295231899999998,0.27392308886144695,0.8571,0.623,0.6134,0.5922,0.5431,0.0821
es,ru,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.19295231899999998,0.12801188093684823,0.8,0.4508,0.4754,0.3613,0.5273,0.2742
es,no,64.74,8,22,0.221536128,34170,2147,15.915230554261761,0.106159434,0.19295231899999998,0.20233370966833372,0.8333,0.6506,0.7684,0.5922,0.6832,0.1153
es,ko,21.31,29,1,0.114226906,30426,2147,14.171401956217979,0.294432976,0.19295231899999998,0.2766091457636196,1.0,0.6805,0.6115,0.5319,0.5505,0.4956
es,et,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.19295231899999998,0.02255122853700577,1.0,0.5485,0.7070000000000001,0.5922,0.6832,0.1347
es,pl,45.23,24,6,0.11732206699999999,22646,2147,10.547741034000932,0.223329008,0.19295231899999998,0.02478454010564413,0.8333,0.5489,0.5011,0.3613,0.4801,0.0984
es,nl,65.33,7,23,0.23978210100000003,19452,2147,9.060083837913368,0.133302703,0.19295231899999998,0.09556861658719491,0.9,0.5770000000000001,0.6034,0.5922,0.557,0.0683
es,pt,74.58,2,28,0.46650262299999995,19763,2147,9.204937121564974,0.09546069800000001,0.19295231899999998,0.25529045535268896,0.2667,0.3983,0.4921,0.5922,0.4797,0.0156
es,la,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.19295231899999998,0.031191760168130675,0.1667,0.6920000000000001,0.7945,0.5922,0.6832,0.0573
es,fr,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.19295231899999998,0.14880394593016552,0.4375,0.4148,0.5083,0.4788,0.5804,0.0438
es,de,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.19295231899999998,0.0007603611330925901,0.8571,0.5047,0.5698,0.4788,0.6393,0.0703
es,hi,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.19295231899999998,0.4719735064700861,0.875,0.5711,0.5758,0.4097,0.5922,0.3634
es,ca,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.07401331900000001,0.19295231899999998,0.37996934527187237,0.0909,0.5376,0.4879,0.3613,0.4565,0.0205
es,it,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.19295231899999998,0.2194904219093977,0.3,0.4667,0.5255,0.5922,0.5037,0.0588
es,en,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.09615563199999999,0.19295231899999998,0.251663934146114,0.9,0.3987,0.4728,0.3433,0.5481,0.0698
es,fi,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.19295231899999998,0.3224480995143557,1.0,0.466,0.509,0.4477,0.5617,0.1597
es,bg,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.19295231899999998,0.0019377612749689416,0.8571,0.4116,0.5017,0.3613,0.5933,0.1089
es,sl,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.19295231899999998,0.05394446297863153,0.8333,0.5433,0.5642,0.5922,0.5118,0.0717
es,sk,54.7,20,10,0.12340405800000001,9543,2147,4.444806707033069,0.261917468,0.19295231899999998,0.12774954225249477,0.8333,0.5588,0.629,0.5922,0.6832,0.0904
es,ro,65.47,6,24,0.29476763100000003,8795,2147,4.096413600372613,0.167303215,0.19295231899999998,0.017670319087350478,0.3333,0.4667,0.4864,0.4278,0.5114,0.1069
es,hr,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.19295231899999998,0.015133323281981853,0.875,0.7952,0.6326,0.5922,0.4327,0.0776
es,ar,46.23,22,8,0.07016729299999999,6984,2147,3.2529110386585933,0.10339868099999999,0.19295231899999998,0.21541029791330338,1.0,0.5588,0.629,0.5922,0.6832,1.0
es,lv,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.19295231899999998,0.1539133891909916,0.75,0.5770000000000001,0.6661,0.4097,0.6832,0.129
es,he,56.16,19,11,0.12111363900000001,5725,2147,2.6665114112715416,0.117344567,0.19295231899999998,0.15354392785932947,1.0,0.4389,0.5722,0.5922,0.6441,0.1696
es,uk,61.35,12,18,0.11170435,5090,2147,2.3707498835584535,0.31926283,0.19295231899999998,0.42852777822675236,0.8333,0.5169,0.5579999999999999,0.5922,0.5275,0.1095
es,id,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.19295231899999998,0.0004612508535431645,1.0,0.5704,0.5109,0.4477,0.4627,0.6143
es,da,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.19295231899999998,0.0028014530954082353,0.8571,0.5897,0.7312,0.5922,0.6832,0.08900000000000001
es,sv,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.19295231899999998,1.6159344876055972e-05,0.8571,0.5176,0.6137,0.5922,0.6215,0.1252
es,zh,35.92,26,4,0.10586997199999999,4497,2147,2.094550535631113,0.178585916,0.19295231899999998,0.005543653594904551,1.0,0.5588,0.629,0.5922,0.6832,1.0
ko,cs,14.61,16,14,0.125440152,114304,3276,34.89133089133089,0.091965586,0.465899158,0.6441767784799476,1.0,0.7102,0.6825,0.6409999999999999,0.6216,0.4141
ko,ru,15.6,9,21,0.117398796,55398,3276,16.91025641025641,0.123916395,0.465899158,0.5387962724482416,1.0,0.557,0.5941,0.5,0.6511,0.2272
ko,no,15.32,11,19,0.117373823,34170,3276,10.43040293040293,0.106159434,0.465899158,0.5962013335595927,1.0,0.7274,0.8185,0.6409999999999999,0.6737,0.3892
ko,es,12.19,24,6,0.124441226,31546,3276,9.629426129426129,0.07918718599999999,0.465899158,0.6889558364492705,1.0,0.6805,0.6115,0.5319,0.5505,0.4956
ko,et,16.17,7,23,0.11677446699999999,23460,3276,7.1611721611721615,0.221928097,0.465899158,0.27421599189860146,1.0,0.6175,0.7499,0.6409999999999999,0.6737,0.3622
ko,pl,14.86,15,15,0.10343880300000001,22646,3276,6.912698412698413,0.223329008,0.465899158,0.2710758713127536,1.0,0.6505,0.5969,0.5,0.5633,0.3976
ko,nl,14.58,17,13,0.11924681,19452,3276,5.937728937728938,0.133302703,0.465899158,0.509625770154501,1.0,0.6626,0.61,0.6409999999999999,0.5145,0.4315
ko,pt,13.76,21,9,0.123916789,19763,3276,6.0326617826617825,0.09546069800000001,0.465899158,0.6321909711218328,1.0,0.7008,0.6299,0.6409999999999999,0.5185,0.4962
ko,la,13.92,20,10,0.000249732,17140,3276,5.231990231990232,0.158874645,0.465899158,0.43427242235611707,1.0,0.7323,0.8216,0.6409999999999999,0.6737,0.4515
ko,fr,12.06,26,4,0.121019904,16032,3276,4.893772893772894,0.118520741,0.465899158,0.5559321781923584,1.0,0.6903,0.5853,0.5804,0.4804,0.4552
ko,de,17.39,3,27,0.120870065,14613,3276,4.460622710622711,0.187631727,0.465899158,0.3567310449798401,1.0,0.5646,0.5397,0.4934,0.5227,0.4258
ko,hi,22.94,1,29,0.062133207,14963,3276,4.567460317460317,0.060393443,0.465899158,0.7575479155122635,1.0,0.4724,0.531,0.5319,0.5579999999999999,0.2488
ko,ca,12.69,23,7,0.12164423199999999,14832,3276,4.527472527472527,0.07401331900000001,0.465899158,0.7075144098004392,1.0,0.7489,0.6178,0.5,0.5198,0.4773
ko,it,12.19,24,6,0.119596434,13685,3276,4.177350427350428,0.102554534,0.465899158,0.6082100981557959,1.0,0.6857,0.6557,0.6409999999999999,0.5861,0.4465
ko,en,16.31,5,25,0.12191893699999999,14545,3276,4.43986568986569,0.09615563199999999,0.465899158,0.6298212446473307,1.0,0.6184,0.5443,0.4638,0.4866,0.4405
ko,fi,17.88,2,28,0.11704917199999999,13581,3276,4.145604395604396,0.302519355,0.465899158,0.12297388258513443,1.0,0.5924,0.4849,0.4638,0.3638,0.3414
ko,bg,14.06,18,12,0.11602527300000001,10022,3276,3.059218559218559,0.201446082,0.465899158,0.3221909925003948,1.0,0.6654,0.605,0.5,0.5671,0.4068
ko,sl,15.27,12,18,0.11292860199999999,9290,3276,2.835775335775336,0.237767323,0.465899158,0.23976618682397566,1.0,0.6559999999999999,0.6243,0.6409999999999999,0.55,0.4283
ko,sk,14.9,14,16,0.10263966199999999,9543,3276,2.913003663003663,0.261917468,0.465899158,0.19168958630035415,1.0,0.5654,0.6315,0.6409999999999999,0.6737,0.4085
ko,ro,13.98,19,11,0.118647454,8795,3276,2.6846764346764345,0.167303215,0.465899158,0.41075603621335044,1.0,0.6654,0.6127,0.5702,0.5696,0.3995
ko,hr,15.65,8,22,0.119321729,7832,3276,2.3907203907203907,0.216688845,0.465899158,0.28611996955213975,1.0,0.8976,0.7058,0.6409999999999999,0.5505,0.4261
ko,ar,6.64,29,1,0.09946807199999999,6984,3276,2.131868131868132,0.10339868099999999,0.465899158,0.6053873106909048,1.0,0.5654,0.6315,0.6409999999999999,0.6737,1.0
ko,lv,16.21,6,24,0.114177259,6475,3276,1.9764957264957266,0.268650981,0.465899158,0.1792429756131941,1.0,0.7057,0.7623,0.5319,0.6737,0.3666
ko,he,8.55,28,2,0.115500837,5725,3276,1.7475579975579976,0.117344567,0.465899158,0.5597031662689154,1.0,0.6572,0.6474,0.6409999999999999,0.5886,0.4099
ko,uk,15.16,13,17,0.112828709,5090,3276,1.5537240537240538,0.31926283,0.465899158,0.09906022321137099,1.0,0.6447,0.6364,0.6409999999999999,0.5861,0.3932
ko,id,11.24,27,3,0.119096971,5036,3276,1.5372405372405373,0.197096308,0.465899158,0.33287707523512444,1.0,0.6956,0.5688,0.4638,0.4569,0.2665
ko,da,13.52,22,8,0.107908998,4947,3276,1.51007326007326,0.203165045,0.465899158,0.3180160785780253,1.0,0.6335,0.7595,0.6409999999999999,0.6737,0.41
ko,sv,15.54,10,20,0.114377045,4807,3276,1.4673382173382172,0.193727962,0.465899158,0.3412718543789162,1.0,0.6782,0.6111,0.6409999999999999,0.5026,0.374
ko,zh,16.68,4,26,0.109956796,4497,3276,1.3727106227106227,0.178585916,0.465899158,0.38030097096385795,1.0,0.5654,0.6315,0.6409999999999999,0.6737,1.0
et,cs,47.94,5,25,0.184067066,114304,2737,41.762513701132626,0.091965586,0.323237952,0.5119208212568355,1.0,0.5463,0.7240000000000001,0.0002,0.6784,0.0591
et,ru,46.5,8,22,0.15668839199999998,55398,2737,20.240409207161125,0.123916395,0.323237952,0.38024529509525185,1.0,0.5416,0.7014,0.6162,0.688,0.1505
et,no,51.58,3,27,0.204613185,34170,2737,12.48447204968944,0.106159434,0.323237952,0.4510129406743042,1.0,0.6257,0.6257,0.0002,0.0,0.0359
et,es,40.93,17,13,0.174181668,31546,2737,11.525758129338692,0.07918718599999999,0.323237952,0.5700535535715152,1.0,0.5485,0.7070000000000001,0.5922,0.6832,0.1347
et,ko,16.7,29,1,0.14697259699999998,30426,2737,11.116550968213373,0.294432976,0.323237952,0.007941276955688635,1.0,0.6175,0.7499,0.6409999999999999,0.6737,0.3622
et,pl,42.9,15,15,0.153054055,22646,2737,8.274022652539276,0.223329008,0.323237952,0.09553533798932798,1.0,0.5007,0.7033,0.6162,0.6597,0.0447
et,nl,44.48,12,18,0.16887553600000002,19452,2737,7.107051516258678,0.133302703,0.323237952,0.3452760447024556,1.0,0.604,0.7747,0.0002,0.6068,0.0693
et,pt,40.02,22,8,0.16807598199999998,19763,2737,7.220679576178298,0.09546069800000001,0.323237952,0.49656489434205203,1.0,0.5122,0.7090000000000001,0.0002,0.6328,0.1341
et,la,28.26,26,4,0.025828023,17140,2737,6.262331019364267,0.158874645,0.323237952,0.25856220842681604,1.0,0.7219,0.7219,0.0002,0.0,0.1043
et,fr,40.64,19,11,0.190584644,16032,2737,5.857508220679576,0.118520741,0.323237952,0.40111048960842477,1.0,0.5868,0.7619,0.5456,0.6025,0.09300000000000001
et,de,46.6,7,23,0.16654956,14613,2737,5.339057362075265,0.187631727,0.323237952,0.17600076666069153,1.0,0.6058,0.7703,0.5456,0.6153,0.0691
