languages,ISO CODE,ISO 2 CODE,S_SVO,S_SOV,S_VSO,S_SUBJECT_BEFORE_VERB,S_SUBJECT_AFTER_VERB,S_OBJECT_BEFORE_VERB,S_OBJECT_AFTER_VERB,S_POSSESSOR_BEFORE_NOUN,S_POSSESSOR_AFTER_NOUN,S_ADJECTIVE_BEFORE_NOUN,S_ADJECTIVE_AFTER_NOUN,S_NUMERAL_BEFORE_NOUN,S_NUMERAL_AFTER_NOUN,S_OBLIQUE_AFTER_VERB,S_OBLIQUE_AFTER_OBJECT,S_OBLIQUE_BEFORE_VERB,S_OBLIQUE_BEFORE_OBJECT,
Thai,tha,th,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,
Turkish,tur,tr,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
Ukrainian,ukr,uk,1,0,0,1,0,0,1,--,--,1,0,1,0,--,--,--,--,
Upper_Sorbian,hsb,hsb,1,0,0,1,0,0,1,1,1,1,0,1,0,--,--,--,--,from Czech
Urdu,urd,ur,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
Uyghur,uig,ug,0,1,0,1,0,1,0,--,--,1,0,--,--,--,--,--,--,
Vietnamese,vie,vi,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,
Warlpiri,wbp,--,--,--,--,1,1,1,1,--,--,0,1,--,--,--,--,--,--,
Welsh,wel,cy,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,
Wolof,wol,wo,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,
Yoruba,yor,yo,1,0,0,1,0,0,1,0,1,0,1,0,1,--,--,--,--,
